"","story_title","chain_number","generation","reproduction"
"161","flight",4,1,"On January 15\n2018\nA woman (66 years old)\nFlight from Chicago to London\nChicago O’Hare International Airport \nOn January 14\nConnecticut Heathrow Airport (London)\nUnited States\nJanuary 18"
"162","flight",4,2,"On january 15 2018 A woman (66 years old) flights from Chigao to London Chigao January 14 Conniction Lodon January 18"
"163","flight",4,3,"On january 15 2018 a woman (66 years) flights from chigao to london.\nChigao 18 lodon"
"164","flight",4,4,"On january 15 a 66 year old woman took a flight from Chicago to London. (After this, it was ""repeated"" with wrong spelling: chigao, lodon, etc)"
"165","flight",4,5,"On January 15th, a 66 year old woman took a flight from Chicago to London."
"166","flight",4,6,"On January 15th, a 66 year old woman took a flight from Chicago to London."
"167","flight",5,1,"On January 15, 2018 a 66 year old women flew from Chicago to London without a Ticket. She entered the airport on the 14th and hid her face behind her hair while going through the control. She tried to board a flight to Conneticut, but was stopped. After trying again to come behind the gate, she was seated by the oifficers who stopped her. She waited untill the other day, before getting into an international shutttle, which brought her to the train, even though a ticket and boarding pass are normally required to get in.\nThe woman was flewn back to Chicago."
"168","flight",5,2,"On January 14, 2018 a 66 year old women flew from Chicago to New York without a ticket. She tried to board a flight to Conncecticut, but after being stopped the second time police officers arrested her and put her in to a shuttle, which brought her to a flight back to Chicago without a ticket."
"169","flight",5,3,"On January 14 2018, a 66-year old woman flew from Chicago to New York without a ticket. She tried to book a flight to Connecticut, but after being caught the second time, police officers arrested her and put her on a shuttle to take her to a flight back to Chicago without paying for her ticket."
"170","flight",5,4,"On 14 January 2018, a 66-year old woman flew from Chicago to New York without a ticket. She then tried to book a ticket to Connecticut, but after having been caught the second time, police arrested her and send her to a flight back to Chicago, without paying for her ticket."
"171","flight",5,5,"on the 14th of January 2017 a 66-year old woen flew from Cicago to Newyork without paying for her ticket. She tried to book a ticket to Conetticut. Getting caught a second time the police sent her home to Chicago by plane without paying for her ticket."
"172","flight",5,6,"on the 14th January of 2017 a 66 years old woen flew from Newyork to Chicago without paying for her ticket. She took another plane to Conneticat without paying for her ticket. After the police caught her another time, she was send home without paying for her ticket."
"173","flight",6,1,"A 66 year old woman from Chicago USA tried to fly without a passport and a plane ticket. The first time she was stopped and stayed at the airport over night. The next day she took the shuttle bus to the international terminal and took a flight to Heathrow London. On the 18. of January she arrived back in the US and is now charged with two crimes."
"174","flight",6,2,"An old woman ist trying to take a fligth, but is stopped at the airport as she has no passport and flight ticket. She stays at the airport for one night and flys the next day from a different terminal to London. In January she comes back and is charged in the US for two crimes."
"175","flight",6,3,"An old woman is trying to take a flight, but is not permitted as she doesn't have documents and a ticket. She stays at the airport for one night and on the next day from a different terminal she takes off to London. In January, she arrives back at the US and is charged for two crimes."
"176","flight",6,4,"An old woman is trying to take a flight but she is not permitted as she doesn't have documents and a ticket. She stays at the airport for one night and the next day from a different terminal she takes off for London. In January, she back to the US and is charged for two crimes."
"177","flight",6,5,"An old woman wants to take a flight but doesn't get permission because she misses a ticket and documents. After one night staying at the airport she takes the flight to London. When she came back to the US in January, she is accused of two crimes."
"178","flight",6,6,"An old woman wants to flight but is not allowed, because of missing ticket and documents. She stays one night at the airport and flies the next day to London.\nWhen she's coming back to the US in January she is comited of to crimes."
"179","flight",7,1,"A woman was caught trying to board a flight without paying"
"180","flight",7,2,"A woman was caught trying to board a flight without paying."
"181","flight",7,3,"A woman was caught trying to board a flight without paying."
"182","flight",8,1,"66 years old woman passed through security check without passport and ticket in an International Airport of Chicago on January 15, 2018. She attempted to take a flight from Chicago to London. January 14 she hide her face with hair and sneaked to the gate while two Transportation Security Agents were checking other passengers. She wanted to take a flight to Connecticut but failed. She stayed in the airport over night and then took a shuttle bus to the international flights gate in the morning even though people without boarding pass and passport are not allowed to do so. She was stopped by immigration officers in the Heathrow airport in London and came back to USA on January 18. She was charged for theft and misdemeanor for trespassing."
"183","flight",9,1,"On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing."
"184","flight",9,2,"On January 15, 2018 a woman (66 years old) flew from Chicago to London without a ticket or a passport. She first entered Chicago O'Hare Airport on January 14. She hid her face with her hair as she passed two Transportation Security Administration officers who were busy checking the luggage of other passengers. She then attempted to board a plane to Connecticut but failed. When she tried to pass the gate she was stopped and told to sit back down. She stayed overnight in the airport and the next day boarded a flight to Heathrow Airport (London). She was detained by customs and security patrol at the airport after her plane landed and was not allowed to enter. She was then ordered to fly back to Chicago. She was charged with misdemeanor and trespassing."
"185","flight",10,1,"On january 14, a woman(66) sneaked by the passport control in ohera airport in chicago and tried to get into a plane to connecticut but failed, e.g. had to sit down and wait - but she stayed at the airport overnight and took the shuttle to the international part of the airport - all without passport and boarding pass. finally she got onto a plane to heathrow but got caught by customs in london. She was sent back on  the 18th"
"186","flight",10,2,"On january 14th, a woman (66 years old) sneaked into ohera airport in chicago and tried to get onto a plane to connecticut. She got failed and had to sit down at the airport. She stayed overnight and took the shuttle to the international aiport on the next day. Then she took a plane to Heathrow airport all without a passport and boarding pass but got caught by customs in London. She arrived back in the United States on January 18th."
"187","flight",10,3,"On January 14th a woman (66 years old) came to the chicago airport and wanted to get a flight to conneticut. But she had to wait at the airport and at the next day she got a flight to London Heathrow. At January 18th she arrived back to the United States."
"188","flight",10,4,"On january 14th a 66 years old women went to the airport in Chicago where she wanted to get a flight to Conneticut. However, she had to wait at the airport and got a flight to London Heathrow the next day. She returned to the United States on 18th of january."
"189","flight",10,5,"On january 14th a woman went to the airport in Chigago to catch a flight to Conneticut. However, she had to wait and the next day she caught a flight to London Heathrow. She returned to the United States on the 18th of January.\n"
"190","flight",10,6,"On January 14th and women wanted to take a flight from Chicago to Connecticut. She couldn't take the flight that day and had to wait for the next day. Then, she took a flight to London Heathrow and on January 18th she was back in the USA."
"191","flight",10,7,"A women wanted to take a flight from Chicago to Connecticut (on the 14th january). The woman could not take the flight on that day and had to wait for one day. Then she took a flight to London Heathrow and came back to the USA on the 18th january."
"192","flight",11,1,"A 66 year old woman is a bad ass bc she was flying for free."
"193","flight",11,2,"A 66 years old woman was a bad ass because her flight was for free."
"194","flight",11,3,"A 66 years old woman was a bad ass because she got a flight for free"
"195","flight",11,4,"A 66 years old Woman was a bad ass because she got a flight for free."
"196","flight",11,5,"A 66 years old Woman is a Badass because she got a flight for free."
"197","flight",11,6,"A 66 year old woman is a badass because she just got flight tickets for free."
"198","flight",11,7,"A 66 year old woman is a badass because she just got her flightticket for free."
"199","flight",12,1,"A woman (66 years old) took flight from Chicago to London on 15th of January, 2018 without a ticket and a passport. She sneaked to the airport of Chicago a day before and tried to take a flight to Connecticut but failed. She spent a night at the Airport and day after a flight to London where was caught and sent back to US where was sentenced."
"200","flight",12,2,"A 66 year old woman took a flight from Chicago to London on January 18th, 2017 without a ticket and a passport. She snuck into the Chicago airport the day before and tried to sneak onto a flight to Connecticut but was not able to. After arriving in London and being caught, she was sent back to the US where she was punished"
"201","flight",12,3,"A 66 year old woman snuck into a flight from Chicago to London without a ticket or passport on 18th January 2017. She snuck into the airport the day before and tried to get into a flight to Connecticut but couldn’t get in. After she was caught she was being sent back to the US and punished"
"202","flight",12,4,"A 66 year old woman snuck into an airplane from Chicago to London on 18th January 2017 without a ticket and a passport. A day before she tried the same wirh a flight to Connecticut but could not get in. After she got caught she was sent back to the US and prisoned"
"203","flight",12,5,"A 66 year old woman snuck into a plane from Chicago to London on January 18th 2017 without a Ticket or a passport. A day before she tried the same with a flight to Connecticut. When she was caught, she was sent back to the US and was prisoned."
"204","flight",12,6,"An old woman tries to sneak on a plane without a ticket in chicago airport. She has tried this without success a day before with a plane to London. The plane would go to connecticut, but she is caught and send to prison."
"205","flight",13,1,"On the 15th of January 2018 a 66-year old woman slipped through airport control and got from the USA to London Heathrow without ticket or passport. She went to the airport a day before and tried to get to Conneticut but failed. She somehow managed to get on the plane to London and was found there by British officials who sent her back on the 18th. She gets now judged for her illegal trespassing and flighing without a ticket."
"206","flight",13,2,"On the 15th of january 2018 a 66-year old slipped through airport control to get from the USA to London Heathrow without a ticket and passport. The day before she tried to get to Conneticut. She somehow managed to get on the plane to London where british officials found her and sent her back on the 18th. She now gets judged for illegal flighing without a ticket."
"207","flight",13,3,"On the 15th of january 2018 a 66-years old slipped through the airport control and took a flight from the USA to London Heathrow without ticket and passport. The day before she already tried to fly to Connecticut. She somehow managed to get to London where officers caught her and sent her back on the 18th. In the end she was judged for taking a flight illegally."
"208","flight",13,3,"15.01.2018, 66 year old woman tries to get from the usa to london.\nfor that, she does some illegal slipping through airport gates.\nShe will be found on the flight and get arrested."
"209","flight",13,4,"In January of 2018, a 66 year old woman tries to get from the usa to london by slipping through airport gates. she will get caught on the plane"
"210","flight",13,5,"In January 2018 an 80 year old woman will try to get from the usa to london by slipping through airport gates, she will get caught eventually"
"211","flight",13,6,"In January 2018 a 80 year old woman tried to go from the USA to London by slipping through airport gates. She was caught eventually."
"212","flight",13,6,"In january 2018, an 80 year old woman will try to get from the use to london by slipping through airport gates, she will get caught eventually."
"213","flight",13,7,"In 2018 a 80 year old women will try to get from use to london by slipping through the airport gates. She will get caught eventually."
"214","flight",14,1,"A 66 year old woman took a flight on january 14th from Chicago to London. She wanted to take one back but stayed in London til the next day because she had no ticket. She hid her face to be not recognized in the security camera. When she tried to get on the plane back, she was caught and is now charged for her misdemeanor."
"215","flight",14,2,"A woman took a flight from Chicago to London. She stayed in London for one day and then wanted to take a fligth back. She hid her face from the security cameras and was then caught and condemned for her misdemeanor."
"216","flight",15,1,"Woman 66 years old seaked in an Airport in chicago and sliped by security by hiding her face, without passport or boarding ticket. She tried to get on a flight to Kenntuky, but failed, she was sat down and stayed over night. The next day, janurary 15 2018 she got on an shuttel to the international Terminal and got on an flight to Heathrow, London, still without ticket or passport, where she was confined by british officers and on January 18 2018 send back to the US. She was sharged with theft and trespassing."
"217","flight",15,2,"A woman, 66 years old seaked into an aiport in Chicago hiding her face without a passport or ticket. She planned to go to Kentucky, but missed the flight. therefore she stayed inside the aiport over night. The next day, january 15 2018 she took a flight to Heathrow, London. January 19 2018 she got arrested by british policemen for trespassing."
"218","flight",15,3,"a woman who wanted to go to Kentucky, went two London heathrow because she missed here original flight. in London she got arrested three days later for something like hiding here faces."
"219","flight",15,4,"A woman who wanted to go to Kentucky went to London Heathrow because she missed her flight. Three days later she was arrested because of hiding her face or something."
"220","flight",16,1,"On January 15th 2018 a 66 year-old woman took a flight from Chicago to London without a ticket or passport. She entered Chicago'O Hara International Airport on January 14th and snook past two Transportation Administration officers by hiding her face with her hair. After being screened, she tried to book a flight to Conneticut but failed. When she tried to sneak past the security guard, she was detected and told to sit down. She spent the night at the airport and hopped on a shuttle bus, although you need a passport and plane ticket to enter one, the next day. She entered a flight to Heathrow Airport(London) and was captured by British officers. She returned to the USA on January 18th and is now facing accusation of theft and other things."
"221","flight",16,2,"On January 15th 2018 a 66 years old woman flew from Chicago to London without a ticket and a passport. A day ealier she snooked by two officers by hiding her face with her hair at the airport in Chicago. But she got caught when she was trying to get to Cunneticut and had to spend the night at the airport. She managed to get on a shuttel bus and at the end get to the Heathrow Airport in London. But was caught again and send back to the US. Now she is accused of"
"222","flight",16,3,"On January 15th 2018, a woman tried to get on a plane from Chicago to London. She didn't had a passport nor a ticket. She tried to hide her face with her hair but she was caught by some police officers. She could escape during the night and take a shuttle bus to London. She is now accused of"
"223","flight",16,4,"not having a passport or a ticket."
"224","flight",17,1,"A 66 years old women entered the chicago airport at 14th january. She hided her face behind her hair and slipped trough controll when two controlleurs were distracted by controlling other passengers. She wanted to enter a flight to conneticut and was stopped and had to sit down. She stayed over night and then taked the bus to the international gate, even though a passport and a ticket would have been necessary for it. She taked the flight to london where she was stopped by two police officers. She returned to the usa at 18th january and was charged for theft an passing borders without permission."
"225","flight",17,2,"A 66 years old woman entered the chicago airport on 14th january. She hid her face behind her hair and slid through the control when the two controlleurs were distracted by other passengers. She wanted to take the flight to conneticut but was stopped and had to sit down. She spent the night there and took the bus even though a ticket and passport would have been necessary. Then she took the flight to London where she was found by two police officers and arrested because of theft and entering the airport without permission. She returned on the 18th of january."
