"chain","deadend","generation","reproduction","story_text","story_title","guilty"
"rxBKphFdFrZVCEn6","false",1,"A couple from Iowa went out to check on their 50 beehives. When
they discouraged a tragic scene. All of the beehives where cut
open and the shed was torn apart and there were many things damaged.
It caused a huge amount of money in damages. The 12 and 13 year
old boys that were accused of doing this were arrested and were
being charged with burglary and damage to a agricultural farm.
If found guilty they could spend up to 10 years in jail and face
fines.","In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart and the equipment had been thrown out of
the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) who are allegedly
responsible for the damage were arrested. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they will be charged
in juvenile court where they face up to 10 years in prison and fines up to $10,000 if convicted. Police officials explained that the investigation is still in progress, but the evidence so far overwhelmingly
speaks for the guilt of the suspects.","bees_jail",85
"ybftrFr2OwzwycF5","false",1,"Due to the routine check of an Indonesian vessel police stopped
a smuggling ring. The found over 250 exotic birds stuffed into
a tube with both ends closed with wire. These birds were meant
to be smuggled into the us and be sold as beds. The birds amount
to about 250,000. Four men were arrested and if found guilty face
up to 5 years in prison and a 8000 fine. However there was an
anyonomous tip that led police to these four men. they deny any
connection and may not be involved.","Because of a routine check on a cargo vessel, the Indonesian police was able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end
by a wire. The animals were meant to be transported to the US, where they can be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery
is worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who are allegedly responsible for this act. The suspects face up to five years
in prison and a fine of up to $8000 if found guilty. However, the case rests on an anonymous tip which provides a very weak case and all four suspects still deny any connection to the smuggling affair.
Thus, it is still not clear, whether they were involved, or not.","smuggler_free",11
"IPmRaAe9tblpRZ3B","false",1,"In April 2018 there was an arson in Germany. The police put out
a reward of 6 thousand dollars for any helpful advice leading
tot he arsonist. They found a T Shirt at a crime scene that was
black and had a logo on it and linked it to a 37 year old man
whom was arrested. They don't know if he's guilty or not yet.","Since mid-April 2018, a region in Bavaria, Germany, has faced a series of purposefully set fires burning trash cans, a car and even an entire town house. At its peak, eight different fires were started
in a single night. Fortunately, nobody was hurt, but the material damages were estimated at around $450,000. The police could not make significant advances in finding the perpetrator, until they publicly
offered a reward of $6000 for each helpful tip. A black shirt with a unique design which was found on one of the crime scenes might have given the critical clue. About a week ago, the police arrested a
37 year old suspect on charges of severe arson. If found guilty, he will face up to 10 years in prison. According to recent reports, experts don't believe that the existing evidence unquestionably points
to him.","arson_free",52
"hLhiheAY6bvk9S8G","false",2,"Four men were arrested because they were suspected of smuggling
birds into the United States.","Indonesian police prevented a bird smuggling attempt. It is likely that the birds would be sold in the US as pets. They arrested four men and had witnesses connecting them to the crime.","smuggler_jail",52
"ITOAblDU1df9LjI8","false",1,"Due to a routine inspection, Indonesian police intercepted a shipment
of $250,000 worth of exotic birds.  There have been arrests made
over this, but person who tipped off the police remains anonymous
and that creates a bit of a weak case as to whether or not those
arrested are truly part of this smuggling operation or not.","Because of a routine check on a cargo vessel, the Indonesian police was able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end
by a wire. The animals were meant to be transported to the US, where they can be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery
is worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who are allegedly responsible for this act. The suspects face up to five years
in prison and a fine of up to $8000 if found guilty. However, the case rests on an anonymous tip which provides a very weak case and all four suspects still deny any connection to the smuggling affair.
Thus, it is still not clear, whether they were involved, or not.","smuggler_free",79
"dv6hT8bmr3nnaO0I","false",2,"This year a region in Germany has faced several fires.  Police
had difficulty finding a culprit, but after a $6000 reward was
offered they now have a suspect.","this year a region in germany has faced a bunch of fires,nobody was hurt but it caused a lot of property damage. police had difficulty finding a culprit but after offering a $6000 award have found a suspect.","arson_jail",24
"WsOQJZf8pXd09yvc","false",1,"In 2018 lots of fires were set in Germany. at the peak of arson,
8 fires were set in one night. A trash can, a car, and an entire
town house were burned down. The damage was in excess of $450,000.
Police were unable to catch the arsonist until they made a reward
of $6,000 available. A black shirt was found with a unique pattern
at the scene of the crime. Police arrested a suspect and he is
presumed guilty.","Since mid-April 2018, a region in Bavaria, Germany, has faced a series of purposefully set fires burning trash cans, a car and even an entire town house. At its peak, eight different fires were started
in a single night. Fortunately, nobody was hurt, but the material damages were estimated at around $450,000. The police could not make significant advances in finding the perpetrator, until they publicly
offered a reward of $6000 for each helpful tip. A black shirt with a unique design which was found on one of the crime scenes might have given the critical clue. About a week ago, the police arrested a
37 year old suspect on charges of severe arson. If found guilty, he will face up to 10 years in prison. According to recent reports, experts don't believe that the existing evidence leaves any doubt about
his guilt.","arson_jail",17
"1bOxz26mbq8wCDDK","false",1,"In December 2017 a beekeeper couple's hives were destroyed. Over
a million bees were killed and over $60,000 in damages were done.
The suspects are 2 12 year old boys who face up to 10 years in
prison and $10,000 in fines. They are not presumed guilty.","In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart and the equipment had been thrown out of
the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) who are allegedly
responsible for the damage were arrested. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they will be charged
in juvenile court where they face up to 10 years in prison and fines up to $10,000 if convicted. But police officials explained that the investigation is still in progress, and the evidence so far doesn't
allow for rushed conclusions about the guilt of the suspects.","bees_free",76
"MFAVpIZCN70RwtFv","false",1,"Indonesian police checked a vessel and were able to prevent a
smuggling attempt.they found a bunch of birds stuffed in drain
pipes and sealed by wire,they were going to be transported to
the US to be sold as pets. The delivery was estimated to be worth
about a quarter million dollars and a week later four men were
arrested although they deny being involved.","Because of a routine check on a cargo vessel, the Indonesian police was able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end
by a wire. The animals were meant to be transported to the US, where they can be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery
is worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who are allegedly responsible for this act. The suspects face up to five years
in prison and a fine of up to $8000 if found guilty. However, the case rests on an anonymous tip which provides a very weak case and all four suspects still deny any connection to the smuggling affair.
Thus, it is still not clear, whether they were involved, or not.","smuggler_free",29
"dv6hT8bmr3nnaO0I","false",1,"this year a region in germany has faced a bunch of fires,nobody
was hurt but it caused a lot of property damage. police had difficulty
finding a culprit but after offering a $6000 award have found
a suspect.","Since mid-April 2018, a region in Bavaria, Germany, has faced a series of purposefully set fires burning trash cans, a car and even an entire town house. At its peak, eight different fires were started
in a single night. Fortunately, nobody was hurt, but the material damages were estimated at around $450,000. The police could not make significant advances in finding the perpetrator, until they publicly
offered a reward of $6000 for each helpful tip. A black shirt with a unique design which was found on one of the crime scenes might have given the critical clue. About a week ago, the police arrested a
37 year old suspect on charges of severe arson. If found guilty, he will face up to 10 years in prison. According to recent reports, experts don't believe that the existing evidence leaves any doubt about
his guilt.","arson_jail",58
"ex426xQvfqfvmruY","false",1,"In Iowa, a couple found that their beehives had been destroyed.
Later, two young teen boys were arrested for the damage.","In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart and the equipment had been thrown out of
the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) who are allegedly
responsible for the damage were arrested. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they will be charged
in juvenile court where they face up to 10 years in prison and fines up to $10,000 if convicted. Police officials explained that the investigation is still in progress, but the evidence so far overwhelmingly
speaks for the guilt of the suspects.","bees_jail",100
"hLhiheAY6bvk9S8G","false",1,"Indonesian police prevented a bird smuggling attempt. It is likely
that the birds would be sold in the US as pets. They arrested
four men and had witnesses connecting them to the crime.","Because of a routine check on cargo vessel, the Indonesian police was able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end
by a wire. The animals were meant to be transported to the US, where they can be soled as pets. Officials assume, that the operation was planned and executed by a wildlife trafficking ring. This delivery
is worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who are allegedly responsible for this act. The suspects face up to five years
in prison and an up to $8000 fine if found guilty. However, the case rests on several eyewitness reports which provide a very strong case and there have been inconsistencies in the testimonies of the four
suspects. Thus, it is very likely, that they were involved.","smuggler_jail",100
"jOAXTFasyxioKHOc","false",1,"37 year old was caught for damages because of a 6000 dollar reward","Since mid-April 2018, a region in Bavaria, Germany, has faced a series of purposefully set fires burning trash cans, a car and even an entire town house. At its peak, eight different fires were started
in a single night. Fortunately, nobody was hurt, but the material damages were estimated at around $450,000. The police could not make significant advances in finding the perpetrator, until they publicly
offered a reward of $6000 for each helpful tip. A black shirt with a unique design which was found on one of the crime scenes might have given the critical clue. About a week ago, the police arrested a
37 year old suspect on charges of severe arson. If found guilty, he will face up to 10 years in prison. According to recent reports, experts don't believe that the existing evidence leaves any doubt about
his guilt.","arson_jail",67
"wdfPZlwPtBEgVuvG","false",1,"\nThey found about 150 exotic birds stuffed into plastic drain
pipes","Because of a routine check on cargo vessel, the Indonesian police was able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end
by a wire. The animals were meant to be transported to the US, where they can be soled as pets. Officials assume, that the operation was planned and executed by a wildlife trafficking ring. This delivery
is worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who are allegedly responsible for this act. The suspects face up to five years
in prison and an up to $8000 fine if found guilty. However, the case rests on several eyewitness reports which provide a very strong case and there have been inconsistencies in the testimonies of the four
suspects. Thus, it is very likely, that they were involved.","smuggler_jail",63
